code,name,provinceCode
1,Quận Ninh Kiều,1
652,Quận Ô Môn,1
653,Quận Bình Thủy,1
654,Quận Cái Răng,1
655,Quận Thốt Nốt,1
656,Huyện Cờ Đỏ,1
657,Huyện Thới Lai,1
702,Huyện Vĩnh Thạnh,1
703,Huyện Phong Điền,1
571,Thành phố Tân An,2
572,Thị xã Kiến Tường,2
573,Huyện Tân Hưng,2
574,Huyện Vĩnh Hưng,2
575,Huyện Mộc Hóa,2
576,Huyện Tân Thạnh,2
577,Huyện Thạnh Hóa,2
578,Huyện Đức Huệ,2
579,Huyện Đức Hòa,2
580,Huyện Bến Lức,2
581,Huyện Thủ Thừa,2
582,Huyện Tân Trụ,2
583,Huyện Cần Đước,2
584,Huyện Cần Giuộc,2
693,Huyện Châu Thành,2
585,Thành phố Mỹ Tho,3
586,Thị xã Gò Công,3
587,Thị xã Cai Lậy,3
588,Huyện Tân Phước,3
589,Huyện Cái Bè,3
590,Huyện Cai Lậy,3
591,Huyện Chợ Gạo,3
592,Huyện Gò Công Tây,3
593,Huyện Gò Công Đông,3
594,Huyện Tân Phú Đông,3
694,Huyện Châu Thành,3
595,Thành phố Bến Tre,4
596,Huyện Chợ Lách,4
597,Huyện Mỏ Cày Nam,4
598,Huyện Giồng Trôm,4
599,Huyện Bình Đại,4
600,Huyện Ba Tri,4
601,Huyện Thạnh Phú,4
602,Huyện Mỏ Cày Bắc,4
695,Huyện Châu Thành,4
603,Thành phố Trà Vinh,5
604,Huyện Càng Long,5
605,Huyện Cầu Kè,5
606,Huyện Tiểu Cần,5
607,Huyện Cầu Ngang,5
608,Huyện Trà Cú,5
609,Huyện Duyên Hải,5
610,Thị xã Duyên Hải,5
696,Huyện Châu Thành,5
611,Thành phố Vĩnh Long,6
612,Huyện Long Hồ,6
613,Huyện Mang Thít,6
614,Huyện Vũng Liêm,6
615,Huyện Tam Bình,6
616,Thị xã Bình Minh,6
617,Huyện Trà Ôn,6
618,Huyện Bình Tân,6
619,Thành phố Cao Lãnh,7
620,Thành phố Sa Đéc,7
621,Thành phố Hồng Ngự,7
622,Huyện Tân Hồng,7
623,Huyện Hồng Ngự,7
624,Huyện Tháp Mười,7
625,Huyện Cao Lãnh,7
626,Huyện Thanh Bình,7
627,Huyện Lấp Vò,7
628,Huyện Lai Vung,7
697,Huyện Tam Nông,7
698,Huyện Châu Thành,7
629,Thành phố Long Xuyên,8
630,Thành phố Châu Đốc,8
631,Huyện An Phú,8
632,Thị xã Tân Châu,8
633,Huyện Phú Tân,8
634,Huyện Châu Phú,8
635,Huyện Tịnh Biên,8
636,Huyện Tri Tôn,8
637,Huyện Thoại Sơn,8
699,Huyện Châu Thành,8
700,Huyện Chợ Mới,8
638,Thành phố Rạch Giá,9
639,Thành phố Hà Tiên,9
640,Huyện Kiên Lương,9
641,Huyện Hòn Đất,9
642,Huyện Tân Hiệp,9
643,Huyện Giồng Riềng,9
644,Huyện Gò Quao,9
645,Huyện An Biên,9
646,Huyện An Minh,9
647,Huyện Vĩnh Thuận,9
648,Thành phố Phú Quốc,9
649,Huyện Kiên Hải,9
650,Huyện U Minh Thượng,9
651,Huyện Giang Thành,9
701,Huyện Châu Thành,9
658,Thành phố Vị Thanh,10
659,Thành phố Ngã Bảy,10
660,Huyện Châu Thành A,10
661,Huyện Phụng Hiệp,10
662,Huyện Vị Thủy,10
663,Huyện Long Mỹ,10
664,Thị xã Long Mỹ,10
704,Huyện Châu Thành,10
665,Thành phố Sóc Trăng,11
666,Huyện Kế Sách,11
667,Huyện Mỹ Tú,11
668,Huyện Cù Lao Dung,11
669,Huyện Long Phú,11
670,Huyện Mỹ Xuyên,11
671,Thị xã Ngã Năm,11
672,Huyện Thạnh Trị,11
673,Thị xã Vĩnh Châu,11
674,Huyện Trần Đề,11
705,Huyện Châu Thành,11
675,Thành phố Bạc Liêu,12
676,Huyện Hồng Dân,12
677,Huyện Phước Long,12
678,Huyện Vĩnh Lợi,12
679,Thị xã Giá Rai,12
680,Huyện Đông Hải,12
681,Huyện Hòa Bình,12
682,Thành phố Cà Mau,13
683,Huyện U Minh,13
684,Huyện Thới Bình,13
685,Huyện Trần Văn Thời,13
686,Huyện Cái Nước,13
687,Huyện Đầm Dơi,13
688,Huyện Năm Căn,13
689,Huyện Ngọc Hiển,13
690,Huyện Phú Tân,13
2,Quận Ba Đình,14
3,Quận Hoàn Kiếm,14
4,Quận Tây Hồ,14
5,Quận Long Biên,14
6,Quận Cầu Giấy,14
7,Quận Đống Đa,14
8,Quận Hai Bà Trưng,14
9,Quận Hoàng Mai,14
10,Quận Thanh Xuân,14
11,Huyện Sóc Sơn,14
12,Huyện Đông Anh,14
13,Huyện Gia Lâm,14
14,Quận Nam Từ Liêm,14
15,Huyện Thanh Trì,14
16,Quận Bắc Từ Liêm,14
17,Huyện Mê Linh,14
18,Quận Hà Đông,14
19,Thị xã Sơn Tây,14
20,Huyện Ba Vì,14
21,Huyện Phúc Thọ,14
22,Huyện Đan Phượng,14
23,Huyện Hoài Đức,14
24,Huyện Quốc Oai,14
25,Huyện Thạch Thất,14
26,Huyện Chương Mỹ,14
27,Huyện Thanh Oai,14
28,Huyện Thường Tín,14
29,Huyện Phú Xuyên,14
30,Huyện Ứng Hòa,14
31,Huyện Mỹ Đức,14
32,Thành phố Hà Giang,15
33,Huyện Đồng Văn,15
34,Huyện Mèo Vạc,15
35,Huyện Yên Minh,15
36,Huyện Quản Bạ,15
37,Huyện Vị Xuyên,15
38,Huyện Bắc Mê,15
