code,name,districtCode
1,Phường An Phú,1
2,Phường Cái Khế,1
10175,Phường An Hòa,1
10176,Phường Thới Bình,1
10177,Phường An Nghiệp,1
10178,Phường An Cư,1
10179,Phường Tân An,1
10180,Phường Xuân Khánh,1
10181,Phường Hưng Lợi,1
10182,Phường An Khánh,1
10183,Phường An Bình,1
3,Phường Phúc Xá,2
4,Phường Trúc Bạch,2
5,Phường Vĩnh Phúc,2
6,Phường Cống Vị,2
7,Phường Liễu Giai,2
8,Phường Nguyễn Trung Trực,2
9,Phường Quán Thánh,2
10,Phường Ngọc Hà,2
11,Phường Điện Biên,2
12,Phường Đội Cấn,2
13,Phường Ngọc Khánh,2
14,Phường Kim Mã,2
15,Phường Giảng Võ,2
16,Phường Thành Công,2
17,Phường Phúc Tân,3
18,Phường Đồng Xuân,3
19,Phường Hàng Mã,3
20,Phường Hàng Buồm,3
21,Phường Hàng Đào,3
22,Phường Hàng Bồ,3
23,Phường Cửa Đông,3
24,Phường Lý Thái Tổ,3
25,Phường Hàng Bạc,3
26,Phường Hàng Gai,3
27,Phường Chương Dương,3
28,Phường Hàng Trống,3
29,Phường Cửa Nam,3
30,Phường Hàng Bông,3
31,Phường Tràng Tiền,3
32,Phường Trần Hưng Đạo,3
33,Phường Phan Chu Trinh,3
34,Phường Hàng Bài,3
35,Phường Phú Thượng,4
36,Phường Nhật Tân,4
37,Phường Tứ Liên,4
38,Phường Quảng An,4
39,Phường Xuân La,4
40,Phường Yên Phụ,4
41,Phường Bưởi,4
42,Phường Thụy Khuê,4
43,Phường Thượng Thanh,5
44,Phường Ngọc Thụy,5
45,Phường Giang Biên,5
46,Phường Đức Giang,5
47,Phường Việt Hưng,5
48,Phường Gia Thụy,5
49,Phường Ngọc Lâm,5
50,Phường Phúc Lợi,5
51,Phường Bồ Đề,5
52,Phường Sài Đồng,5
53,Phường Long Biên,5
54,Phường Thạch Bàn,5
55,Phường Phúc Đồng,5
56,Phường Cự Khối,5
57,Phường Nghĩa Đô,6
58,Phường Nghĩa Tân,6
59,Phường Mai Dịch,6
60,Phường Dịch Vọng,6
61,Phường Dịch Vọng Hậu,6
62,Phường Quan Hoa,6
63,Phường Yên Hòa,6
64,Phường Trung Hòa,6
65,Phường Cát Linh,7
66,Phường Văn Miếu,7
67,Phường Quốc Tử Giám,7
68,Phường Láng Thượng,7
69,Phường Ô Chợ Dừa,7
70,Phường Văn Chương,7
71,Phường Hàng Bột,7
72,Phường Láng Hạ,7
73,Phường Khâm Thiên,7
74,Phường Thổ Quan,7
75,Phường Nam Đồng,7
76,Phường Trung Phụng,7
77,Phường Quang Trung,7
78,Phường Trung Liệt,7
79,Phường Phương Liên,7
80,Phường Thịnh Quang,7
81,Phường Trung Tự,7
82,Phường Kim Liên,7
83,Phường Phương Mai,7
84,Phường Ngã Tư Sở,7
85,Phường Khương Thượng,7
86,Phường Nguyễn Du,8
87,Phường Bạch Đằng,8
88,Phường Phạm Đình Hổ,8
89,Phường Lê Đại Hành,8
90,Phường Đồng Nhân,8
91,Phường Phố Huế,8
92,Phường Đống Mác,8
93,Phường Thanh Lương,8
94,Phường Thanh Nhàn,8
95,Phường Cầu Dền,8
96,Phường Bách Khoa,8
97,Phường Đồng Tâm,8
98,Phường Vĩnh Tuy,8
99,Phường Bạch Mai,8
100,Phường Quỳnh Mai,8
101,Phường Quỳnh Lôi,8
102,Phường Minh Khai,8
103,Phường Trương Định,8
104,Phường Thanh Trì,9
105,Phường Vĩnh Hưng,9
106,Phường Định Công,9
107,Phường Mai Động,9
108,Phường Tương Mai,9
109,Phường Đại Kim,9
110,Phường Tân Mai,9
111,Phường Hoàng Văn Thụ,9
112,Phường Giáp Bát,9
113,Phường Lĩnh Nam,9
114,Phường Thịnh Liệt,9
115,Phường Trần Phú,9
116,Phường Hoàng Liệt,9
117,Phường Yên Sở,9
118,Phường Nhân Chính,10
119,Phường Thượng Đình,10
120,Phường Khương Trung,10
121,Phường Khương Mai,10
122,Phường Thanh Xuân Trung,10
123,Phường Phương Liệt,10
124,Phường Hạ Đình,10
125,Phường Khương Đình,10
126,Phường Thanh Xuân Bắc,10
127,Phường Thanh Xuân Nam,10
128,Phường Kim Giang,10
129,Thị trấn Sóc Sơn,11
130,Xã Bắc Sơn,11
131,Xã Minh Trí,11
132,Xã Hồng Kỳ,11
133,Xã Nam Sơn,11
134,Xã Trung Giã,11
135,Xã Tân Hưng,11
136,Xã Minh Phú,11
137,Xã Phù Linh,11
138,Xã Bắc Phú,11
139,Xã Tân Minh,11
140,Xã Quang Tiến,11
141,Xã Hiền Ninh,11
142,Xã Tân Dân,11
143,Xã Tiên Dược,11
144,Xã Việt Long,11
145,Xã Xuân Giang,11
146,Xã Mai Đình,11
147,Xã Đức Hòa,11
148,Xã Thanh Xuân,11
149,Xã Đông Xuân,11
150,Xã Kim Lũ,11
151,Xã Phú Cường,11
152,Xã Phú Minh,11
153,Xã Phù Lỗ,11
154,Xã Xuân Thu,11
155,Thị trấn Đông Anh,12
156,Xã Xuân Nộn,12
157,Xã Thụy Lâm,12
158,Xã Bắc Hồng,12
159,Xã Nguyên Khê,12
160,Xã Nam Hồng,12
161,Xã Tiên Dương,12
162,Xã Vân Hà,12
163,Xã Uy Nỗ,12
164,Xã Vân Nội,12
165,Xã Liên Hà,12
166,Xã Việt Hùng,12
167,Xã Kim Nỗ,12
168,Xã Kim Chung,12
169,Xã Dục Tú,12
170,Xã Đại Mạch,12
171,Xã Vĩnh Ngọc,12
172,Xã Cổ Loa,12
173,Xã Hải Bối,12
174,Xã Xuân Canh,12
175,Xã Võng La,12
176,Xã Tàm Xá,12
177,Xã Mai Lâm,12
178,Xã Đông Hội,12
179,Thị trấn Yên Viên,13
180,Xã Yên Thường,13
181,Xã Yên Viên,13
182,Xã Ninh Hiệp,13
183,Xã Đình Xuyên,13
184,Xã Dương Hà,13
185,Xã Phù Đổng,13
186,Xã Trung Mầu,13
187,Xã Lệ Chi,13
188,Xã Cổ Bi,13
189,Xã Đặng Xá,13
190,Xã Phú Thị,13
191,Xã Kim Sơn,13
192,Thị trấn Trâu Quỳ,13
193,Xã Dương Quang,13
194,Xã Dương Xá,13
195,Xã Đông Dư,13
196,Xã Đa Tốn,13
197,Xã Kiêu Kỵ,13
198,Xã Bát Tràng,13
199,Xã Kim Lan,13
200,Xã Văn Đức,13
201,Phường Cầu Diễn,14
202,Phường Xuân Phương,14
203,Phường Phương Canh,14
204,Phường Mỹ Đình 1,14
205,Phường Mỹ Đình 2,14
206,Phường Tây Mỗ,14
207,Phường Mễ Trì,14
208,Phường Phú Đô,14
209,Phường Đại Mỗ,14
210,Phường Trung Văn,14
211,Thị trấn Văn Điển,15
212,Xã Tân Triều,15
213,Xã Thanh Liệt,15
214,Xã Tả Thanh Oai,15
215,Xã Hữu Hòa,15
216,Xã Tam Hiệp,15
217,Xã Tứ Hiệp,15
218,Xã Yên Mỹ,15
219,Xã Vĩnh Quỳnh,15
220,Xã Ngũ Hiệp,15
221,Xã Duyên Hà,15
222,Xã Ngọc Hồi,15
223,Xã Vạn Phúc,15
224,Xã Đại áng,15
225,Xã Liên Ninh,15
226,Xã Đông Mỹ,15
227,Phường Thượng Cát,16
228,Phường Liên Mạc,16
229,Phường Đông Ngạc,16
230,Phường Đức Thắng,16
231,Phường Thụy Phương,16
232,Phường Tây Tựu,16
233,Phường Xuân Đỉnh,16
234,Phường Xuân Tảo,16
235,Phường Minh Khai,16
236,Phường Cổ Nhuế 1,16
237,Phường Cổ Nhuế 2,16
238,Phường Phú Diễn,16
239,Phường Phúc Diễn,16
240,Thị trấn Chi Đông,17
241,Xã Đại Thịnh,17
242,Xã Kim Hoa,17
243,Xã Thạch Đà,17
244,Xã Tiến Thắng,17
245,Xã Tự Lập,17
246,Thị trấn Quang Minh,17
247,Xã Thanh Lâm,17
248,Xã Tam Đồng,17
249,Xã Liên Mạc,17
250,Xã Vạn Yên,17
251,Xã Chu Phan,17
252,Xã Tiến Thịnh,17
253,Xã Mê Linh,17
254,Xã Văn Khê,17
255,Xã Hoàng Kim,17
256,Xã Tiền Phong,17
257,Xã Tráng Việt,17
258,Phường Nguyễn Trãi,18
259,Phường Mộ Lao,18
260,Phường Văn Quán,18
261,Phường Vạn Phúc,18
262,Phường Yết Kiêu,18
263,Phường Quang Trung,18
264,Phường La Khê,18
265,Phường Phú La,18
266,Phường Phúc La,18
267,Phường Hà Cầu,18
268,Phường Yên Nghĩa,18
269,Phường Kiến Hưng,18
270,Phường Phú Lãm,18
271,Phường Phú Lương,18
272,Phường Dương Nội,18
273,Phường Đồng Mai,18
274,Phường Biên Giang,18
275,Phường Lê Lợi,19
276,Phường Phú Thịnh,19
277,Phường Ngô Quyền,19
278,Phường Quang Trung,19
279,Phường Sơn Lộc,19
280,Phường Xuân Khanh,19
281,Xã Đường Lâm,19
282,Phường Viên Sơn,19
283,Xã Xuân Sơn,19
284,Phường Trung Hưng,19
285,Xã Thanh Mỹ,19
286,Phường Trung Sơn Trầm,19
287,Xã Kim Sơn,19
288,Xã Sơn Đông,19
289,Xã Cổ Đông,19
290,Thị trấn Tây Đằng,20
291,Xã Phú Cường,20
292,Xã Cổ Đô,20
293,Xã Tản Hồng,20
294,Xã Vạn Thắng,20
295,Xã Châu Sơn,20
296,Xã Phong Vân,20
297,Xã Phú Đông,20
298,Xã Phú Phương,20
299,Xã Phú Châu,20
300,Xã Thái Hòa,20
301,Xã Đồng Thái,20
302,Xã Phú Sơn,20
303,Xã Minh Châu,20
304,Xã Vật Lại,20
305,Xã Chu Minh,20
306,Xã Tòng Bạt,20
307,Xã Cẩm Lĩnh,20
308,Xã Sơn Đà,20
309,Xã Đông Quang,20
310,Xã Tiên Phong,20
311,Xã Thụy An,20
312,Xã Cam Thượng,20
313,Xã Thuần Mỹ,20
314,Xã Tản Lĩnh,20
315,Xã Ba Trại,20
316,Xã Minh Quang,20
317,Xã Ba Vì,20
318,Xã Vân Hòa,20
319,Xã Yên Bài,20
320,Xã Khánh Thượng,20
321,Thị trấn Phúc Thọ,21
322,Xã Vân Hà,21
323,Xã Vân Phúc,21
324,Xã Vân Nam,21
325,Xã Xuân Đình,21
326,Xã Sen Phương,21
327,Xã Võng Xuyên,21
328,Xã Thọ Lộc,21
329,Xã Long Xuyên,21
330,Xã Thượng Cốc,21
331,Xã Hát Môn,21
332,Xã Tích Giang,21
333,Xã Thanh Đa,21
334,Xã Trạch Mỹ Lộc,21
335,Xã Phúc Hòa,21
336,Xã Ngọc Tảo,21
337,Xã Phụng Thượng,21
338,Xã Tam Thuấn,21
339,Xã Tam Hiệp,21
340,Xã Hiệp Thuận,21
341,Xã Liên Hiệp,21
342,Thị trấn Phùng,22
343,Xã Trung Châu,22
344,Xã Thọ An,22
345,Xã Thọ Xuân,22
346,Xã Hồng Hà,22
347,Xã Liên Hồng,22
348,Xã Liên Hà,22
349,Xã Hạ Mỗ,22
350,Xã Liên Trung,22
351,Xã Phương Đình,22
352,Xã Thượng Mỗ,22
353,Xã Tân Hội,22
354,Xã Tân Lập,22
355,Xã Đan Phượng,22
356,Xã Đồng Tháp,22
357,Xã Song Phượng,22
358,Thị trấn Trạm Trôi,23
359,Xã Đức Thượng,23
360,Xã Minh Khai,23
361,Xã Dương Liễu,23
362,Xã Di Trạch,23
363,Xã Đức Giang,23
364,Xã Cát Quế,23
365,Xã Kim Chung,23
366,Xã Yên Sở,23
367,Xã Sơn Đồng,23
368,Xã Vân Canh,23
369,Xã Đắc Sở,23
370,Xã Lại Yên,23
371,Xã Tiền Yên,23
372,Xã Song Phương,23
373,Xã An Khánh,23
374,Xã An Thượng,23
